Name,Cost (per unit. in €),Amount,Cost (€),Link
5A 24V PSU,13.98,1,13.98,https://www.aliexpress.com/item/33051556213.html?spm=a2g0o.cart.0.0.7fe438daX43lh2&mp=1&pdp_npi=5%40dis%21EUR%21EUR%2014.31%21EUR%2013.89%21%21EUR%2013.61%21%21%21%402103864c17656631570483822e5cd4%2112000016440247461%21ct%21PT%216268751524%21%211%210
24V to 5A DC-DC converter,2.88,1,2.88,https://www.aliexpress.com/item/1005007259901753.html?spm=a2g0o.cart.0.0.7fe438daX43lh2&mp=1&pdp_npi=5%40dis%21EUR%21EUR%203.19%21EUR%202.88%21%21EUR%202.88%21%21%21%402103864c17656631570483822e5cd4%2112000039979305524%21ct%21PT%216268751524%21%211%210
MOSFET Breakout,1.22,1,1.22,https://www.aliexpress.com/item/1005008554454996.html?spm=a2g0o.cart.0.0.7fe438daX43lh2&mp=1&pdp_npi=5%40dis%21EUR%21EUR%202.45%21EUR%201.22%21%21EUR%201.20%21%21%21%402103864c17656631570483822e5cd4%2112000045690084242%21ct%21PT%216268751524%21%211%210
Trapezoidal Blade,0.89,1,0.89,https://www.aliexpress.com/item/1005007677799664.html?spm=a2g0o.cart.0.0.7fe438daX43lh2&mp=1&pdp_npi=5%40dis%21EUR%21EUR%201.96%21EUR%201.89%21%21EUR%201.79%21%21%21%402103892f17656695353376271e234c%2112000041773899842%21ct%21PT%216268751524%21%211%210
Wire Crimps Set,3.69,1,3.69,https://a.aliexpress.com/_EzglbQU
Stepped drill bit,1.09,1,1.09,https://a.aliexpress.com/_EJElGGy
M3 nuts,0.39,1,0.39,https://a.aliexpress.com/_EuZlNXO
Kobra 2 hotend. bought from ebay,10,1,10,
L298N,2.67,1,2.67,https://pt.aliexpress.com/item/1005009503497796.html?spm=a2g0o.productlist.main.3.3615fznGfznGj9&algo_pvid=a38d009d-aad9-4322-a094-2ed5f979e34c&algo_exp_id=a38d009d-aad9-4322-a094-2ed5f979e34c-2&pdp_ext_f=%7B%22order%22%3A%229%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21EUR%215.56%212.67%21%21%2144.92%2121.56%21%40211b612817657501986572866eec77%2112000049302311970%21sea%21PT%216268751524%21X%211%210%21n_tag%3A-29919%3Bd%3Abd3d9d69%3Bm03_new_user%3A-29895&curPageLogUid=A7UlmkoGtT3g&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005009503497796%7C_p_origin_prod%3A
ESP32,3,1,3,https://pt.aliexpress.com/item/1005008889768599.html?spm=a2g0o.productlist.main.8.5f83vxiovxioGV&aem_p4p_detail=2025121414103919565987134556870003112718&algo_pvid=61cd8ce7-c8a7-4e47-ae1d-d441d3551bd0&algo_exp_id=61cd8ce7-c8a7-4e47-ae1d-d441d3551bd0-7&pdp_ext_f=%7B%22order%22%3A%222104%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21EUR%212.42%212.42%21%21%2119.53%2119.53%21%402103846917657502398801949ef029%2112000047095028658%21sea%21PT%216268751524%21X%211%210%21n_tag%3A-29919%3Bd%3Abd3d9d69%3Bm03_new_user%3A-29895&curPageLogUid=HEaoa2KeasVG&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005008889768599%7C_p_origin_prod%3A&search_p4p_id=2025121414103919565987134556870003112718_2
,,,,
,Total (€): ,39.81,,
